,0,1,2,3,4,5,6,7,HH,freq,rk,ra,u1,u2,k5,k8
917,2.0,17.0,14.0,14.0,12.0,12.0,12.0,12.0,31357664384.0,5381.0,13044262.0,0.4625162634457308,0.44087276,5.9283385,4,7
918,0.0,11.0,11.0,12.0,11.0,11.0,11.0,12.0,31238873710.0,5377.0,13049639.0,0.462706918152647,4.2971873,-1.1559923,3,6
919,2.0,5.0,12.0,13.0,12.0,12.0,12.0,13.0,33852010392.0,5375.0,13055014.0,0.4628975019446638,9.380561,6.156052,2,5
920,0.0,12.0,14.0,11.0,12.0,11.0,12.0,12.0,31352478696.0,5364.0,13060378.0,0.4630876957047342,4.9776464,0.980139,3,6
921,0.0,13.0,14.0,12.0,12.0,12.0,12.0,13.0,33852000886.0,5362.0,13065740.0,0.4632778185499052,4.4744244,0.8378344,3,6
922,1.0,16.0,11.0,13.0,12.0,13.0,12.0,12.0,31362805893.0,5352.0,13071092.0,0.4634675868205794,1.0146968,1.6565354,1,4
923,4.0,13.0,20.0,16.0,12.0,12.0,12.0,12.0,31357688498.0,5346.0,13076438.0,0.4636571423465556,-0.0100576,9.429339,4,1
924,1.0,11.0,15.0,12.0,11.0,11.0,12.0,13.0,33846613439.0,5332.0,13081770.0,0.4638462014682362,5.404971,4.92674,5,3
925,1.0,14.0,15.0,10.0,12.0,11.0,12.0,12.0,31352468577.0,5330.0,13087100.0,0.4640351896750176,3.16695,5.3606157,5,8
926,1.0,15.0,15.0,11.0,12.0,12.0,12.0,12.0,31357632879.0,5327.0,13092427.0,0.4642240715094499,2.4188063,4.6420197,5,2
927,2.0,16.0,14.0,15.0,13.0,13.0,12.0,12.0,31363062898.0,5320.0,13097747.0,0.4644127051417344,0.14681788,6.50471,4,7
928,1.0,7.0,12.0,11.0,12.0,11.0,12.0,12.0,31352477619.0,5315.0,13103062.0,0.4646011614867706,8.771006,5.338131,2,5
929,1.0,13.0,15.0,10.0,12.0,11.0,13.0,12.0,31465848459.0,5313.0,13108375.0,0.4647895469169074,3.724808,5.585046,5,8
930,2.0,15.0,17.0,12.0,13.0,11.0,13.0,12.0,31466105024.0,5306.0,13113681.0,0.4649776841448964,1.3666211,7.2817793,4,7
931,1.0,10.0,15.0,12.0,12.0,11.0,12.0,12.0,31352489785.0,5305.0,13118986.0,0.4651657859154358,6.0232353,5.104254,5,3
932,1.0,9.0,10.0,13.0,13.0,12.0,12.0,12.0,31357885879.0,5298.0,13124284.0,0.4653536394838274,9.365326,4.4545565,2,5
933,0.0,12.0,10.0,13.0,11.0,11.0,11.0,12.0,31238883896.0,5291.0,13129575.0,0.4655412448500714,3.487986,-1.0800834,3,6
934,2.0,15.0,17.0,11.0,13.0,10.0,13.0,12.0,31460940744.0,5280.0,13134855.0,0.4657284601843688,1.8932055,7.11754,4,7
935,2.0,14.0,17.0,13.0,12.0,12.0,12.0,12.0,31357655122.0,5269.0,13140124.0,0.4659152854867198,0.9079042,7.744731,4,7
936,1.0,15.0,12.0,13.0,11.0,12.0,12.0,12.0,31357418467.0,5268.0,13145392.0,0.4661020753316211,1.7287244,1.9130334,1,4
937,1.0,16.0,13.0,10.0,13.0,11.0,13.0,12.0,31466081813.0,5260.0,13150652.0,0.466288581516925,0.62258935,3.2095146,1,2
938,0.0,12.0,14.0,13.0,11.0,12.0,12.0,12.0,31357419368.0,5249.0,13155901.0,0.4664746976702824,4.964564,0.46275735,3,6
939,1.0,15.0,9.0,13.0,13.0,12.0,12.0,12.0,31357885527.0,5246.0,13161147.0,0.4666607074512909,1.18843,0.125553,1,4
